UIDN,OIDN,Ondernemingsnr,Maatschappelijke_naam,Commerciele_naam,Afgekorte_naam,Ondernemingsnr_maatsch_zetel,Type_onderneming,Rechtsvorm,Rechtstoestand,KBO_Straat,KBO_Huisnr,KBO_Busnr,KBO_Postcode,KBO_Gemeente,AR_straat,AR_huisnr,AR_busnr,AR_postcode,NACE_hoofdact_BTW,NACE_versie_BTW,Omschrijving_hoofdact_BTW,Aantal_hoofdact_BTW,NACE_hoofdact_RSZ,NACE_Versie_RSZ,Omschrijving_hoofdact_RSZ,Aantal_Hoofdact_RSZ,Personeelsklasse,Datum_inschrijving,Startdatum,longitude,latitude
10452911,6188568,2347795225,Tropic Choc,TROPIC CHOC BV, ,0803366866, , , ,Vordensteinstraat,121,6,2900,Schoten,Vordensteinstraat,121,6,2900, , , ,0, , , ,0, ,2023-08-03T00:00:00Z,2023-06-29T00:00:00Z,4.49059045,51.25389867
10453023,6188680,2348238950,ARGEA,ARGEA, ,0804222644, , , ,Bosschaert de Bouwellei,7, ,2900,Schoten,Bosschaert de Bouwellei,7, ,2900, , , ,0, , , ,0, ,2023-08-21T00:00:00Z,2023-05-05T00:00:00Z,4.54283118,51.2618345
10453618,6189275,0795777211,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Zamenhoflaan 6", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Zamenhoflaan,6, ,2900,Schoten,Zamenhoflaan,6, ,2900, , , ,0, , , ,0, ,2023-01-05T00:00:00Z,1995-08-01T00:00:00Z,4.49855501,51.25206356
10453988,6189645,0794926876,Humanitaire Hulp Oekraïne vzw, , , ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Ridder Walter Van Havrelaan,90,6,2900,Schoten,Ridder Walter Van Havrelaan,90,6,2900, , , ,0, , , ,0, ,2022-12-17T00:00:00Z,2022-12-17T00:00:00Z,4.49022091,51.25368271
10454234,6189891,0795756425,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Jan Van Eyckstraat 2", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Jan Van Eyckstraat,2, ,2900,Schoten,Jan Van Eyckstraat,2, ,2900, , , ,0, , , ,0, ,2023-01-05T00:00:00Z,1995-08-01T00:00:00Z,4.47505179,51.24552902
10455722,6191379,2343005108,"Van Rompaey, Steven", , ,0799926633, , , ,Bosschaert de Bouwellei,46, ,2900,Schoten,Bosschaert de Bouwellei,46, ,2900, , , ,0, , , ,0, ,2023-03-24T00:00:00Z,2023-03-13T00:00:00Z,4.54505456,51.26300452
10455838,6191495,2343235829,"Keller, Helena",Therapeute Praktijk Keller Helena, ,0799982952, , , ,Laarsebeekdreef,5, ,2900,Schoten,Laarsebeekdreef,5, ,2900, , , ,0, , , ,0, ,2023-03-30T00:00:00Z,2023-04-01T00:00:00Z,4.50947786,51.28408462
10456110,6191767,2343942444,GALLOPING MINDS,GALLOPING MINDS, ,0799865958, , , ,Metropoolstraat,3-4, ,2900,Schoten,Metropoolstraat,3, ,2900, , , ,0, , , ,0, ,2023-04-18T00:00:00Z,2023-03-23T00:00:00Z,4.4895753,51.24141497
10456114,6191771,2343943038,BIKEFIT VAN STAEYEN,BIKEFIT VAN STAEYEN, ,0800517937, , , ,Rodeborgstraat,67, ,2900,Schoten,Rodeborgstraat,67, ,2900, , , ,0, , , ,0, ,2023-04-18T00:00:00Z,2023-04-06T00:00:00Z,4.5006786,51.25430611
10458060,6193717,0803356671,gymCo Schoten, , , ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Arthur Verhoevenlaan,32, ,2900,Schoten,Arthur Verhoevenlaan,32, ,2900, , , ,0, , , ,0, ,2023-06-29T00:00:00Z,2023-06-29T00:00:00Z,4.49309067,51.24666246
10458689,6194346,0463223597,EX en Co, , , ,Rechtspersoon,Gewone commanditaire vennootschap,Normale toestand,Lariksdreef,32, ,2900,Schoten,Lariksdreef,32, ,2900, , , ,0, , , ,0, ,2003-01-19T00:00:00Z,1998-04-20T00:00:00Z,4.52095659,51.26407266
10460468,6196125,2350020582,Cocon Engineering,Cocon Engineering, ,1000166703, , , ,Taxanderlei,31, ,2900,Schoten,Taxanderlei,31, ,2900, , , ,0, , , ,0, ,2023-10-03T00:00:00Z,2023-09-22T00:00:00Z,4.51959437,51.25027516
10460534,6196191,2350256946,"Calliauw, Anneleen",Dos Cortados, ,1000912811, , , ,Wezelsebaan,196, ,2900,Schoten,Wezelsebaan,196, ,2900, , , ,0, , , ,0, ,2023-10-09T00:00:00Z,2023-10-09T00:00:00Z,4.53318364,51.26190183
10460545,6196202,2350259421,"Wiszniewski, Kamil",WK PROJECT, ,1000916076, , , ,Victor Adriaenssensstraat,59, ,2900,Schoten,Victor Adriaenssensstraat,59, ,2900, , , ,0, , , ,0, ,2023-10-09T00:00:00Z,2023-10-09T00:00:00Z,4.49777614,51.24568731
10461589,6197246,0799288215,"Vereniging van Mede-eigenaars van het appartementsgebouw ""Gebouw A"" te 2900 Schoten, Boekweitstraat 86", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Boekweitstraat,86, ,2900,Schoten,Boekweitstraat,86, ,2900, , , ,0, , , ,0, ,2023-03-08T00:00:00Z,1995-08-01T00:00:00Z,4.50152447,51.25972689
10462017,6197674,0801429440,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Heikantstraat 174", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Heikantstraat,174, ,2900,Schoten,Heikantstraat,174, ,2900, , , ,0, , , ,0, ,2023-05-04T00:00:00Z,1995-08-01T00:00:00Z,4.51103747,51.25843387
10462643,6198300,0801411327,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Jozef Cogelslei 26", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Jozef Cogelslei,26, ,2900,Schoten,Jozef Cogelslei,26, ,2900, , , ,0, , , ,0, ,2023-05-04T00:00:00Z,1995-08-01T00:00:00Z,4.46288068,51.24407475
10463169,6198826,2345051808,Koen Linders,Koen Linders, ,0801551580, , , ,Zandstappenstraat,73, ,2900,Schoten,Zandstappenstraat,73, ,2900, , , ,0, , , ,0, ,2023-05-17T00:00:00Z,2023-05-08T00:00:00Z,4.5069515,51.25628748
10463384,6199041,2345499788,Annoto,Annoto, ,0801839513, , , ,Lotuslaan,45, ,2900,Schoten,Lotuslaan,45, ,2900, , , ,0, , , ,0, ,2023-06-02T00:00:00Z,2023-05-16T00:00:00Z,4.50777562,51.25955339
10463581,6199238,2345933518,HiDAcc,HiDAcc, ,0802604031, , , ,Zwanebloemlaan,34, ,2900,Schoten,Zwanebloemlaan,34, ,2900, , , ,0, , , ,0, ,2023-06-15T00:00:00Z,2023-06-11T00:00:00Z,4.51112092,51.2617259
10463609,6199266,2346155628,"Soens, Marilyn", , ,0802974809, , , ,Vinkenlei,31, ,2900,Schoten,Vinkenlei,31, ,2900, , , ,0, , , ,0, ,2023-06-21T00:00:00Z,2023-06-12T00:00:00Z,4.52337482,51.25794365
